gold	A Native American from a tribe not recognized by the feds wins the return of his eagle feathers . An IRS accountant is fired for insisting on carrying a symbolic Sikh knife to work . A group of Chicago pastors takes on City Hall over its permits for new churches and loses .								
generated	"the united states is law in 1993 to prohibit the federal government from ""substantially burdening"" a person's exercise of religion."					the united states is law			
									
article	"-LRB- CNN -RRB- Comedian Chris Rock made light of racial disparities in police treatment of whites and blacks with a tongue-in-cheek guide to not being beaten by the police . He encapsulated the frustration and grief caused by a New York grand jury 's decision not to indict a white police officer in the death of a black man with a simple tweet : `` This one was on film . '' Now , he 's stirring things up again with a series of tweets documenting three traffic stops in seven weeks . `` Stopped by the cops again wish me luck , '' he posted early Tuesday , along with a photo showing him behind the wheel of a car with what looks like blue police lights in the background . He posted similar photos in February . Many African-Americans have long bemoaned the phenomenon of being pulled over for no apparent reason , calling it `` driving while black . '' Blacks are about 30 % more likely to be pulled over by police than whites , according to figures reported by the Bureau of Justice Statistics in 2013 . And in amid increased conversation over race and policing after the high-profile deaths last year of Eric Garner in New York and Michael Brown in Ferguson , Missouri , the issue is even more sensitive . Rock has n't commented on the tweets and did n't say how the police stop turned out . He got lots of support on Twitter . `` My heart legit dropped , no kidding , '' one Twitter fan posted . Many praised him for documenting the stops . Some accused him of race-baiting . But one bit of advice in particular lit up social media . Actor Isaiah Washington urged Rock to '' #Adapt '' to avoid racial profiling . `` I sold my $ 90,000.00 Mercedes G500 and bought 3 Prius 's , because I got tired of being pulled over by Police , '' Washington tweeted . Some saw that as a sell-out , saying Rock should n't have to take steps others might not have to as a way to avoid being pulled over . `` Let me guess . . you also make sure your pants are pulled up as well ? . '' Twitter user YeshaCallahan posted . Appearing on CNN , Washington defended the tweet , saying he wanted to `` excite a conversation . '' Years ago , Rock filmed a sketch for his `` Chris Rock '' show on HBO in which he detailed ways to avoid being beaten by police as a black man . Besides obeying the law , he suggested bringing a white friend along for the ride . He did just that last year in a segment of `` Comedians in Cars Getting Coffee '' with Jerry Seinfeld . The two chat as Seinfeld drives an orange Lamborghini . And what happened ? They get pulled over after Seinfeld goes a bit heavy on the gas . `` Here 's the crazy thing , '' Rock tells Seinfeld as the police officer stops the duo . `` If you were n't here , I 'd be scared . ''"								
gold	"Chris Rock posts selfies after being pulled over three times in last seven weeks . `` Stopped by the cops again wish me luck , '' he posted this week ."								
generated	he posted a photo showing him behind the wheel of a car with a photo.					with a photo			
									
article	"-LRB- CNN -RRB- If you 're famous and performing the American national anthem , be prepared to become a national hero or a national disgrace . Facts are facts . Just ask Vince , Whitney , Roseanne , Jimi and Michael . Mötley Crüe 's Vince Neil reminded us again this week of the dangers of tackling `` The Star-Spangled Banner . '' Sure , he can shred it on `` Girls , Girls , Girls '' and `` Dr. Feelgood , '' but this is a different story -- a completely different story . To say Neil butchered the song before the Las Vegas Outlaws Arena Football League game would be unkind to those in the profession . There 's less carnage when butchers are done with their work . The late Whitney Houston set the modern standard for the national anthem at Super Bowl XXV . In the early stages of the Gulf War in 1991 , a patriotic America saluted her performance . Just six months earlier , comedian Roseanne Barr may have established the low-water mark . The crowd at the San Diego Padres game booed her rendition and President George H. W. Bush called it `` disgraceful . '' There 's nothing quite like getting the presidential thumbs down . One of the most controversial and beloved versions of `` The Star-Spangled Banner '' comes from 1969 . Guitar slinger Jimi Hendrix inflamed mainstream America with his psychedelic take on the national anthem to the delight of the Woodstock generation . And then there 's Michael Bolton 's version . Overly wrought songs are his specialty and he does n't disappoint in that department when he sings at the American League Championship Series in 2003 . Bolton belts it out , but there 's one little problem -- the words . Can anyone say crib notes ?"								
gold	Singing the national anthem is a risky proposition . Whitney Houston nailed it ; Roseanne Barr destroyed it .								
generated	"""the star-spangled banner"" comes from 1969."				most controversial and beloved versions of				
									
article	"-LRB- CNN -RRB- It was a typical practice day for the Washington University of rowing team , but then danger came from beneath . The scene was Creve Coeur Lake outside of St. Louis early Friday morning . The team 's boat got near the dock , when suddenly a swarm of Asian carp emerged from the water and went on the attack , some even going into the boat . Team member Devin Patel described the moment of terror : `` The fish was flopping on my legs . It was so slippery that I could n't get a grip on it . '' Patel screamed at teammate Yoni David , `` Yoni , get it off me ! '' Thankfully , no rowers were injured during the ordeal , but the strong smell of fish lingered in the moments afterward . Watch iReporter Benjamin Rosenbaum 's video above ."								
gold	Rowing team at Washington University attacked by flying carp . Member of the team caught the attack on video .								
generated	it was a swarm day for the washington university of rowing team.				swarm day				
									
article	"-LRB- CNN -RRB- Blues legend B.B. King was hospitalized for dehydration , though the ailment did n't keep him out for long . King 's dehydration was caused by his Type II diabetes , but he `` is much better , '' his daughter , Claudette King , told the Los Angeles Times . The legendary guitarist and vocalist released a statement thanking those who have expressed their concerns . `` I 'm feeling much better and am leaving the hospital today , '' King said in a message Tuesday . Angela Moore , a publicist for Claudette King , said later in the day that he was back home resting and enjoying time with his grandchildren . `` He was struggling before , and he is a trouper , '' Moore said . `` He was n't going to let his fans down . '' No more information on King 's condition or where he was hospitalized was immediately available . B.B. is short for Blues Boy , part of the name he used as a Memphis disc jockey , the Beale Street Blues Boy . He was inducted into the Rock and Roll Hall of Fame in 1987 , and has 30 Grammy nominations . King , 89 , has used various models of Gibson guitars over the years , and named each one of them Lucille . In the 1980s , Gibson officially dropped the model number on the guitar he used last and most . It became a custom-made signature model named Lucille , manufactured exclusively for the `` King of the Blues . '' Some of his hits include `` The Thrill Is Gone , '' which won him his first Grammy in 1970 , `` There Must be a Better World Somewhere '' and `` When Love Comes to Town , '' a collaboration with U2 . Last year , the bluesman suffered from dehydration and exhaustion after a show in Chicago , forcing him to cancel the remainder of his tour . CNN 's Greg Botelho and Sonya Hamasaki contributed to this report ."								
gold	"B.B King is now out of the hospital and back at home . Bluesman suffered from dehydration and exhaustion after a 2014 show in Chicago . B.B. is short for Blues Boy , part of the name he used as a Memphis disc jockey ."								
generated	angela moore was back home resting and enjoying time with his grandchildren.					angela moore was back home			
									
article	"Marseille , France -LRB- CNN -RRB- The French prosecutor leading an investigation into the crash of Germanwings Flight 9525 insisted Wednesday that he was not aware of any video footage from on board the plane . Marseille prosecutor Brice Robin told CNN that `` so far no videos were used in the crash investigation . '' He added , `` A person who has such a video needs to immediately give it to the investigators . '' Robin 's comments follow claims by two magazines , German daily Bild and French Paris Match , of a cell phone video showing the harrowing final seconds from on board Germanwings Flight 9525 as it crashed into the French Alps . All 150 on board were killed . Paris Match and Bild reported that the video was recovered from a phone at the wreckage site . The two publications described the supposed video , but did not post it on their websites . The publications said that they watched the video , which was found by a source close to the investigation . `` One can hear cries of ` My God ' in several languages , '' Paris Match reported . `` Metallic banging can also be heard more than three times , perhaps of the pilot trying to open the cockpit door with a heavy object . Towards the end , after a heavy shake , stronger than the others , the screaming intensifies . Then nothing . '' `` It is a very disturbing scene , '' said Julian Reichelt , editor-in-chief of Bild online . An official with France 's accident investigation agency , the BEA , said the agency is not aware of any such video . Lt. Col. Jean-Marc Menichini , a French Gendarmerie spokesman in charge of communications on rescue efforts around the Germanwings crash site , told CNN that the reports were `` completely wrong '' and `` unwarranted . '' Cell phones have been collected at the site , he said , but that they `` had n't been exploited yet . '' Menichini said he believed the cell phones would need to be sent to the Criminal Research Institute in Rosny sous-Bois , near Paris , in order to be analyzed by specialized technicians working hand-in-hand with investigators . But none of the cell phones found so far have been sent to the institute , Menichini said . Asked whether staff involved in the search could have leaked a memory card to the media , Menichini answered with a categorical `` no . '' Reichelt told `` Erin Burnett : Outfront '' that he had watched the video and stood by the report , saying Bild and Paris Match are `` very confident '' that the clip is real . He noted that investigators only revealed they 'd recovered cell phones from the crash site after Bild and Paris Match published their reports . `` That is something we did not know before . ... Overall we can say many things of the investigation were n't revealed by the investigation at the beginning , '' he said . What was mental state of Germanwings co-pilot ? German airline Lufthansa confirmed Tuesday that co-pilot Andreas Lubitz had battled depression years before he took the controls of Germanwings Flight 9525 , which he 's accused of deliberately crashing last week in the French Alps . Lubitz told his Lufthansa flight training school in 2009 that he had a `` previous episode of severe depression , '' the airline said Tuesday . Email correspondence between Lubitz and the school discovered in an internal investigation , Lufthansa said , included medical documents he submitted in connection with resuming his flight training . The announcement indicates that Lufthansa , the parent company of Germanwings , knew of Lubitz 's battle with depression , allowed him to continue training and ultimately put him in the cockpit . Lufthansa , whose CEO Carsten Spohr previously said Lubitz was 100 % fit to fly , described its statement Tuesday as a `` swift and seamless clarification '' and said it was sharing the information and documents -- including training and medical records -- with public prosecutors . Spohr traveled to the crash site Wednesday , where recovery teams have been working for the past week to recover human remains and plane debris scattered across a steep mountainside . He saw the crisis center set up in Seyne-les-Alpes , laid a wreath in the village of Le Vernet , closer to the crash site , where grieving families have left flowers at a simple stone memorial . Menichini told CNN late Tuesday that no visible human remains were left at the site but recovery teams would keep searching . French President Francois Hollande , speaking Tuesday , said that it should be possible to identify all the victims using DNA analysis by the end of the week , sooner than authorities had previously suggested . In the meantime , the recovery of the victims ' personal belongings will start Wednesday , Menichini said . Among those personal belongings could be more cell phones belonging to the 144 passengers and six crew on board . Check out the latest from our correspondents . The details about Lubitz 's correspondence with the flight school during his training were among several developments as investigators continued to delve into what caused the crash and Lubitz 's possible motive for downing the jet . A Lufthansa spokesperson told CNN on Tuesday that Lubitz had a valid medical certificate , had passed all his examinations and `` held all the licenses required . '' Earlier , a spokesman for the prosecutor 's office in Dusseldorf , Christoph Kumpa , said medical records reveal Lubitz suffered from suicidal tendencies at some point before his aviation career and underwent psychotherapy before he got his pilot 's license . Kumpa emphasized there 's no evidence suggesting Lubitz was suicidal or acting aggressively before the crash . Investigators are looking into whether Lubitz feared his medical condition would cause him to lose his pilot 's license , a European government official briefed on the investigation told CNN on Tuesday . While flying was `` a big part of his life , '' the source said , it 's only one theory being considered . Another source , a law enforcement official briefed on the investigation , also told CNN that authorities believe the primary motive for Lubitz to bring down the plane was that he feared he would not be allowed to fly because of his medical problems . Lubitz 's girlfriend told investigators he had seen an eye doctor and a neuropsychologist , both of whom deemed him unfit to work recently and concluded he had psychological issues , the European government official said . But no matter what details emerge about his previous mental health struggles , there 's more to the story , said Brian Russell , a forensic psychologist . `` Psychology can explain why somebody would turn rage inward on themselves about the fact that maybe they were n't going to keep doing their job and they 're upset about that and so they 're suicidal , '' he said . `` But there is no mental illness that explains why somebody then feels entitled to also take that rage and turn it outward on 149 other people who had nothing to do with the person 's problems . '' Germanwings crash compensation : What we know . Who was the captain of Germanwings Flight 9525 ? CNN 's Margot Haddad reported from Marseille and Pamela Brown from Dusseldorf , while Laura Smith-Spark wrote from London . CNN 's Frederik Pleitgen , Pamela Boykoff , Antonia Mortensen , Sandrine Amiel and Anna-Maja Rappard contributed to this report ."								
gold	"Marseille prosecutor says `` so far no videos were used in the crash investigation '' despite media reports . Journalists at Bild and Paris Match are `` very confident '' the video clip is real , an editor says . Andreas Lubitz had informed his Lufthansa training school of an episode of severe depression , airline says ."								
generated	"""metallic banging can also be heard more than three times,"" an official said."								an official said (attribution)
									
article	"Sanaa , Yemen -LRB- CNN -RRB- As the transport plane comes in to land at Sanaa Airport , the deep scars of the brutal conflict tearing Yemen apart are only too clear : wrecked aircraft line the runway , and nearby buildings lie in ruins . To most of the outside world , this war-torn country is off limits , the weeks-long battle between Houthi rebels and Saudi-led coalition forces making it too dangerous to visit , and a no-fly zone rendering its international airport all but obsolete -- but on Tuesday , CNN was granted rare access on a desperate aid mission by Unicef , the United Nations Children 's Fund . The airport has previously been bombed . Hostilities are likely to resume before the day is out : a brief , peaceful window has been delicately negotiated following a special request from the U.N. -- but it wo n't last long . Unicef hopes there will be just enough time to deliver vital food and supplies , helping to ease the country 's worsening humanitarian crisis . More than 100,000 Yemeni civilians have fled their homes since fighting began , and OCHA , the United Nations Office for the Coordination of Humanitarian Affairs , estimates that 15.9 million people here are in need of assistance . The main terminal at El Rahaba Airport is under the control of the Houthi rebels . We ca n't get near it for fear of provoking trouble . But there is plenty to be done out on the tarmac . Within minutes of touching down , a small army of aid workers is busy unloading huge mounds of much-needed provisions . Gusts of wind blow dust across the runway , as crates and pallets of emergency nutrition and medical equipment pile up rapidly beside the plane . Unicef 's team has overcome more than one hurdle just getting it this far -- now they 'll have to work out how to distribute it to those most in need in a country paralyzed by a lack of resources . Even before Saudi airstrikes , most of the 25 million people in Yemen required humanitarian assistance to meet their most basic needs , according to the United Nations . As they work , an Air India plane is taxiing away from the terminal . Thousands have fled the country on evacuation flights in recent weeks as the situation in Yemen has deteriorated . But for those who have nowhere else to go and no chance of a flight out , mercy missions by Unicef and other NGOs like it are the only hope . READ MORE : ' A window into hell ' - desperate Yemenis flee by boatREAD MORE : Civilian catastrophe looming in YemenREAD MORE : Yemen crisis - how you can help . Bryony Jones contributed to this report ."								
gold	"Almost 16 million people in Yemen are in need of humanitarian aid , according to U.N. Planeload of aid supplies including food and medicine was flown in to Sanaa on Tuesday . A rare ceasefire was negotiated to allow the plane to land briefly ."								
generated	airport has been bombed by u.n. children's fund.					by u.n. children’s fund			
									
article	"-LRB- CNN -RRB- The first daughter to be married from the hit reality show `` 19 Kids and Counting '' has also become the first mother . People magazine reports that Jill -LRB- Duggar -RRB- Dillard gave birth Monday to a 9-pound , 10-ounce son she and husband Derick have named Israel David . Jill 's parents , Jim Bob and Michelle Duggar , posted a video of the new family on their official Facebook page . The baby was a bit tardy , going past his due date by more than a week . Dillard , who is a student midwife , said she gave herself two due dates and was prepared for the wait . `` I have told myself , ` First-time moms often go a week and a half over , so do n't get discouraged , ' '' she told People . `` When everyone else is asking you , ` When are you going to have that baby ? ' The baby will come when the baby comes . '' Dillard has a ways to go to catch up with her mother . Her super-sized family and their lives have been well-documented on their TLC series , including Jill and Derick 's wedding on June 21 . Eldest Duggar son Josh is already the father of three children , and his wife , Anna , is expecting their fourth in July ."								
gold	"Dillard was the first of the Duggar daughters to be married . Her 9-pound , 10-ounce son was overdue ."								
generated	"jill's parents, jim bob and michelle duggar say the baby was a bit tardy."					say			
									
article	"-LRB- CNN -RRB- A new Kansas law banning a common second-term abortion procedure is the first of its kind in the United States . The law , signed by Kansas Gov. Sam Brownback on Tuesday , bans what it describes as `` dismemberment abortion '' and defines as `` knowingly dismembering a living unborn child and extracting such unborn child one piece at a time from the uterus . '' Supporters of the measure described it as a groundbreaking step , while opponents warned it was dangerous and among the most restrictive abortion laws in the country . The law does not spell out a specific time frame that limits when an abortion can occur , but it bans the dilation and evacuation abortion procedure commonly used during the second trimester of pregnancy . The law allows for the procedure if `` necessary to protect the life or health of the mother , '' according to a statement on Brownback 's website . On Twitter , Brownback , a Republican , said he was proud to sign a law `` protecting life at its most vulnerable stage . '' Planned Parenthood Advocates of Kansas and Mid-Missouri sharply criticized the move , which it described as the latest in a series of `` extreme political measures aimed at denying women access to health care and at undermining their decision-making ability . '' `` Kansas is now not only the sole state with this atrocious law ; it also now has more restrictions on abortion than any state in the U.S. , '' the advocacy group said in a Facebook post . Both sides appear to be prepared to take their battle over such measures to other states -- and to court . Carol Tobias , the president of National Right to Life , said in a statement that the Kansas law was the first of what her organization hopes `` will be many state laws . '' `` This law has the power to transform the landscape of abortion policy in the United States , '' she said . Julie Burkhart , CEO of Wichita-based South Wind Women 's Center , said on Twitter that the signing of the law marked a sad day for Kansas and the United States . `` This law puts women at risk and ties doctors ' hands , '' she said . `` We 'll continue to fight ! '' CNN 's Sam Stringer contributed to this report ."								
gold	A new Kansas law bans what it describes as `` dismemberment abortion '' Supporters say it 's a groundbreaking step . Opponents say it 's dangerous and politically motivated .								
generated	supporters say it was dangerous and among the most restrictive abortion laws.					supporters			
									
article	"-LRB- CNN -RRB- Blues legend B.B. King was hospitalized for dehydration , though the ailment did n't keep him out for long . King 's dehydration was caused by his Type II diabetes , but he `` is much better , '' his daughter , Claudette King , told the Los Angeles Times . The legendary guitarist and vocalist released a statement thanking those who have expressed their concerns . `` I 'm feeling much better and am leaving the hospital today , '' King said in a message Tuesday . Angela Moore , a publicist for Claudette King , said later in the day that he was back home resting and enjoying time with his grandchildren . `` He was struggling before , and he is a trouper , '' Moore said . `` He was n't going to let his fans down . '' No more information on King 's condition or where he was hospitalized was immediately available . B.B. is short for Blues Boy , part of the name he used as a Memphis disc jockey , the Beale Street Blues Boy . He was inducted into the Rock and Roll Hall of Fame in 1987 , and has 30 Grammy nominations . King , 89 , has used various models of Gibson guitars over the years , and named each one of them Lucille . In the 1980s , Gibson officially dropped the model number on the guitar he used last and most . It became a custom-made signature model named Lucille , manufactured exclusively for the `` King of the Blues . '' Some of his hits include `` The Thrill Is Gone , '' which won him his first Grammy in 1970 , `` There Must be a Better World Somewhere '' and `` When Love Comes to Town , '' a collaboration with U2 . Last year , the bluesman suffered from dehydration and exhaustion after a show in Chicago , forcing him to cancel the remainder of his tour . CNN 's Greg Botelho and Sonya Hamasaki contributed to this report ."								
gold	"B.B King is now out of the hospital and back at home . Bluesman suffered from dehydration and exhaustion after a 2014 show in Chicago . B.B. is short for Blues Boy , part of the name he used as a Memphis disc jockey ."								
generated	"he was caused by his type ii diabetes, but he is much better."					he was caused			
									
article	"-LRB- CNN -RRB- One year after it was perpetrated , the kidnapping of nearly 300 schoolgirls by a jihadist group in Nigeria remains a crime almost too horrifying to comprehend : Hundreds of teenaged girls , just finishing school , destined perhaps for significant achievement -- kidnapped , never to be seen again . `` This crime has rightly caused outrage both in Nigeria and across the world , '' the country 's President-elect , Muhammadu Buhari , said Tuesday in marking the anniversary . `` Today is a time to reflect on the pain and suffering of the victims , their friends and families . Our thoughts and prayers , and that of the whole Nigerian nation , are with you today . '' The girls were abducted on the night of April 14-15 , 2014 , in the town of Chibok , in northeastern Nigeria , about a two-hour drive from the border with Cameroon . The Government Girls Secondary School had been closed for a month because of the danger posed by Boko Haram militants , who are opposed to Western education , particularly for girls . But students from several schools had been called in to take a final exam in physics . The militants stormed the school , arriving in a convoy of trucks and buses and engaging in a gun battle with school security guards . Then they forced the girls from their dormitories , loaded them into trucks and drove them into the forest . Most have never been seen since , except in a photograph in which they sat on the ground in a semi-circle , clad in Islamic dress . They were between 16 and 18 years old . Police said the militants kidnapped 276 girls in all . About 50 managed to escape soon after they were abducted . Those who did not , it is feared , may have been raped , brutalized , enslaved and forced to convert to Islam . Their parents were stricken with grief . The world was appalled . On Twitter , a hashtag began trending and spread around the world : #BringBackOurGirls . On Tuesday , Malala Yousafzai , the 17-year-old Pakistani girl who was shot in the face for speaking out in favor of girls ' education , sent a message to the kidnapped girls . `` I am one of the millions of people around the world who keep you and your families foremost in our thoughts and prayers , '' she wrote . `` We can not imagine the full extent of the horrors you have endured . But please know this : We will never forget you . '' One year later , a few things have changed . Each of the missing girls has had a birthday in captivity . Each is now a year older . Nigeria 's current president , Goodluck Jonathan , was defeated in his campaign for re-election , in part , it is thought , because he failed to effectively combat Boko Haram . Buhari , the incoming president , has pledged an aggressive effort to wipe out the group . But much remains unchanged , as well . Boko Haram still controls swathes of northeastern Nigeria . According to UNICEF , 800,000 children have been forced to flee their homes because of the conflict between the Nigerian military , civilian self-defense groups , and Boko Haram . Amnesty International says women and children continue to be abducted . And it says Boko Haram continues to kill in large numbers . Beyond that , more than 200 schoolgirls who had gathered one year ago to take their science exam are still missing . Their families are still bereft . And Tuesday on Twitter , a hashtag was still trending : #BringBackOurGirls ."								
gold	Nigeria 's President-elect sends nation 's prayers to families of girls . World still expresses hope that the girls will return . Boko Haram controls a portion of northeastern Nigeria .								
generated	"muhammadu buhari, 17-year-old, was shot in the face for speaking out in favor of girls' education."					Muhammad Buhari	17-year-old		
									
article	"-LRB- CNN -RRB- The greater adjutant stork is a majestic bird . Standing about 5 feet tall with an average wingspan of 8 feet , it soars over the Boragaon landfill like a great protector . It knows the residents and shies away from strangers . `` They are intelligent birds . Every time I got close to them they would fly away , '' photographer Timothy Bouldry said . The dirty , wet conditions of the landfill attracted the endangered stork , and the stork attracted Bouldry . Through a series of photos taken within a day , he captures what it 's like to live inside one of the largest dumping grounds in India . The Boragaon landfill is located in the city of Guwahati , about 300 miles from Bangladesh near the Bhutanese border . It 's 94 acres of mostly fresh waste , surrounded by swamplands . -LRB- Other landfills , Bouldry says , contain older , compacted trash . -RRB- . For the past seven years , Bouldry has traveled the world photographing landfills . He 's visited places such as Haiti , Venezuela and Colombia . The greater adjutant stork initially drew Bouldry to Boragaon , but he became connected with the people . About 100 families live inside the Boragaon landfill . Every day , they search the area for treasure -- a tiny scrap of metal , a bit of plastic , maybe a bone . They use large hooks to sort through the garbage , which sometimes reaches two or three stories high . They work in teams , and more than often they are barefoot . `` They do n't look at the things they 're doing as being unsanitary or unhealthy or unsafe , '' Bouldry said . They collect plastic , metal and wires and sell it by the pound . The families make around $ 2 per day . Their homes are constructed by recycled materials , with sometimes several families living in one shanty at a time . With no electricity , no running water -- and an overabundance of trash -- they are experts at repurposing . `` You might see a refrigerator being used as a closet , '' he said . Social media . Follow @CNNPhotos on Twitter to join the conversation about photography . Some of the children living in Boragaon go to school on scholarship , but most of them work in the landfill to provide for their families . But do n't be deceived : The people living here feel anything but destitute . Bouldry uses words such as `` love , '' `` hope '' and `` spirituality '' to describe them . `` I found that the landfill community is content , '' Bouldry said . `` They are not jaded by modern civilization . '' Bouldry lives and works inside the La Chureca landfill in Nicaragua , one of the largest landfills in the world . He helps the people living there grow gardens fertilized with compost he makes with organic waste from local smoothie shops . In addition to his photography , he teaches English and yoga classes a few times per week . But why ? Bouldry went to art school in Boston . He 's no stranger to sophisticated civilization . He said he found humanitarian photo projects to be the most fulfilling , and he became especially intrigued by landfills even though they are `` scary , dirty and kind of grotesque . '' `` This is my ` thank you ' to the informal recyclers of the world , '' he said . Timothy Bouldry is a photographer based in New Hampshire . You can follow him on Facebook and Twitter ."								
gold	"Photographer Timothy Bouldry spent time at a massive landfill in Guwahati , India . About 100 families live inside the Boragaon landfill , but Bouldry said they are `` content ''"								
generated	"the greater adjutant stork is a landfill in india, india."						is a landfill	"india, india"	
									
article	"-LRB- CNN -RRB- One year after it was perpetrated , the kidnapping of nearly 300 schoolgirls by a jihadist group in Nigeria remains a crime almost too horrifying to comprehend : Hundreds of teenaged girls , just finishing school , destined perhaps for significant achievement -- kidnapped , never to be seen again . `` This crime has rightly caused outrage both in Nigeria and across the world , '' the country 's President-elect , Muhammadu Buhari , said Tuesday in marking the anniversary . `` Today is a time to reflect on the pain and suffering of the victims , their friends and families . Our thoughts and prayers , and that of the whole Nigerian nation , are with you today . '' The girls were abducted on the night of April 14-15 , 2014 , in the town of Chibok , in northeastern Nigeria , about a two-hour drive from the border with Cameroon . The Government Girls Secondary School had been closed for a month because of the danger posed by Boko Haram militants , who are opposed to Western education , particularly for girls . But students from several schools had been called in to take a final exam in physics . The militants stormed the school , arriving in a convoy of trucks and buses and engaging in a gun battle with school security guards . Then they forced the girls from their dormitories , loaded them into trucks and drove them into the forest . Most have never been seen since , except in a photograph in which they sat on the ground in a semi-circle , clad in Islamic dress . They were between 16 and 18 years old . Police said the militants kidnapped 276 girls in all . About 50 managed to escape soon after they were abducted . Those who did not , it is feared , may have been raped , brutalized , enslaved and forced to convert to Islam . Their parents were stricken with grief . The world was appalled . On Twitter , a hashtag began trending and spread around the world : #BringBackOurGirls . On Tuesday , Malala Yousafzai , the 17-year-old Pakistani girl who was shot in the face for speaking out in favor of girls ' education , sent a message to the kidnapped girls . `` I am one of the millions of people around the world who keep you and your families foremost in our thoughts and prayers , '' she wrote . `` We can not imagine the full extent of the horrors you have endured . But please know this : We will never forget you . '' One year later , a few things have changed . Each of the missing girls has had a birthday in captivity . Each is now a year older . Nigeria 's current president , Goodluck Jonathan , was defeated in his campaign for re-election , in part , it is thought , because he failed to effectively combat Boko Haram . Buhari , the incoming president , has pledged an aggressive effort to wipe out the group . But much remains unchanged , as well . Boko Haram still controls swathes of northeastern Nigeria . According to UNICEF , 800,000 children have been forced to flee their homes because of the conflict between the Nigerian military , civilian self-defense groups , and Boko Haram . Amnesty International says women and children continue to be abducted . And it says Boko Haram continues to kill in large numbers . Beyond that , more than 200 schoolgirls who had gathered one year ago to take their science exam are still missing . Their families are still bereft . And Tuesday on Twitter , a hashtag was still trending : #BringBackOurGirls ."								
gold	Nigeria 's President-elect sends nation 's prayers to families of girls . World still expresses hope that the girls will return . Boko Haram controls a portion of northeastern Nigeria .								
generated	muhammadu buhari says the kidnapping of nearly 300 schoolgirls by a jihadist group.					muhammadu buhari says (he says something else)			says what?
									
