Gold		"since the end of march, hundreds of people have been gathering every evening in the place de la republique in paris."																
Generated		"a group of feminists, anti - speciesists, anti-poverty campaigners and a group of anti-war activists have gathered in the centre of the french capital, paris, to take part in what is thought to be the country's largest gathering of young people."	"anti-poverty, anti-war"															
																		
Source	39829550	"despite returning 80 more councillors, 184 in total, at thursday's local elections in wales, the party only took control of monmouthshire. welsh tory chairman jonathan evans said june's poll will be regarded as a theresa may - jeremy corbyn battle. welsh labour's chris evans said the local election results gave the party a ` ` firm foundation'' to build on. although labour lost more than 100 councillors in wales, taking its tally down to 472, and lost control of both bridgend and blaenau gwent councils, the results were not as bad for the party as had been predicted. labour was also three seats short of a majority in merthyr tydfil, but polling has been delayed until next month in the cyfarthfa ward following the death of a candidate. it means a five - week wait before the council's final political makeup is clear. the ward elected two independents and one labour councillor in 2012. ex - mp and general election candidate in june chris evans said : ` ` what's quite clear is labour in wales is much stronger than the polls are telling us at the moment. ` ` people haven't deserted the labour party - people still have faith and they're still strong with the labour party and that is what we will build on in the next four weeks.'' jonathan evans, who is running the conservative general election campaign in wales, told the bbc's sunday politics wales programme there had been a range of alternatives to labour in welsh elections. but he said : ` ` in the general election it's my expectation that people will see this as a two party contest. ` ` the election has been presented as a choice between jeremy corbyn and theresa may. ` ` i see it that way, and the public see it that way as well and i think that is going to be very helpful for the conservative party in these elections.'' plaid cymru said gaining more than 30 councillors, meaning the party now has 202, was ` ` great news''. it said voting patterns in some local election areas were a cause for optimism ahead of the general election. ynys mon am rhun ap iorwerth said it was ` ` pleasing'' to see gains ` ` in places where we aren't seen as traditionally strong''. ` `"																
Gold		"welsh conservatives will benefit from a general election seen as a two party contest, a senior tory has said."																
Generated		"labour in wales is much stronger than the polls are telling us at the moment, according to the party's general election campaign chairman, chris evans."		stronger than the polls are telling us				"general election campaign chairman, chris evans"										
																		
Source	40716015	"visitors will be shown updates from authorities, news articles, emergency telephone numbers and other useful information in a single place. the sos alerts facility can also be set to trigger mobile notifications to those nearby to affected locations. however, google is still seeking partners to improve the service. the initiative builds on earlier emergency response efforts from the us firm, including its person finder and crisis map tools. but this time, rather than requiring users to go to special sections of its site, sos alerts attempts to bring key information about incidents directly into two of google's most used services. when activated, the maps tool reveals, among other things, areas that should be avoided, which roads have been closed and places users can seek refuge. data gathered from the firm's crowdsourced waze mapping platform also makes it possible to see where traffic jams, accidents and other problems have been reported by the public. the level of detail shown within the search tool depends on whether the person carrying out the query is close to the incident. if nearby, they are presented with links to official alerts, tweets from first responders, and useful short phrases in the local language. those searching from afar are shown less detail unless they click for more information, but they may also be told how to make donations to charities involved in clean - up operations, if google believes it to be appropriate. ` ` in situations of crisis, the need for information is crucial,'' yossi matias, the firm's vice - president of engineering, told the bbc. ` ` people need to know what's going on - anything that may be related to their safety, or any action they should be taking.'' he added that google had set up a dedicated team to decide which events warranted an sos alert, but declined to reveal how many people had been assigned to it. facebook - which offers a parallel service to let members in the vicinity of a disaster tell friends they are safe - has at times been criticised for activating it under ` ` inappropriate'' circumstances. google has joined forces with government bodies, the red cross and various weather - forecasting organisations to help provide sos alerts in 12 countries. they include local organisations in the us, japan, the philippines, australia and canada. but it has yet to secure partners in the uk and other european nations. sos alerts will"																
Gold		"google has begun rounding up information about unfolding natural disasters, terrorism and other crises within its search and maps tools."																
Generated		google has launched sos alerts - a tool that lets users find out where to find out what is going on in the vicinity of a disaster.							find out where to find out									
																		
Source	33384311	"bananas were a staple then - for family consumption and as a mainstay of the local economy - and they still are today. but the 50, 000 or so people who live in this hilly district of small trading centres and scattered homesteads have been part of a high - profile aid initiative over the past nine years. it is one of the locations across africa chosen by the us economist jeffrey sachs to establish millennium villages - intended to be a model for accelerating the end of global poverty. the millennium villages concept has been backed by the united nations, preparing a string of summits this year as the world marks a transition from the millennium development goals to broader and more ambitious sustainable development goals. the un secretary - general, ban ki - moon, says the millennium villages are ` ` showcasing how effective an integrated strategy for education, health care, agriculture and small business can be''. it is when you reach the ridge where ruhiira's main trading centre has developed that you get a sense of how the area is changing. clustered around a crossroads, there are now several small grocery stores, shops selling medicines, hardware stores and eating places. there is a bar with a well - used billiards table on the veranda. there are shops where you can draw money with a mobile phone. and there is a co - operative bank with customers queuing up for loans but, for now, with all too little capital to meet the demand. there was scarcely any electricity in this area a few years ago. then solar power started to make an appearance and now the grid is extending into the area too. a large water tank at the ruhiira trading centre - fed by piped water - shows progress, too, in the critical area of providing more people with access to clean and safe water. mr sachs said that at the peak, the ruhiira project was investing around $ 60 - lrb - # 40 - rrb - per person per year on health, education, water, sanitation, agriculture etc. - lrb - source : millennium village project - rrb - life in a town called mongo the funding is due to drop down to zero by the end of this year. but mr sachs believes even modest resources, if very well directed, can make"																
Gold		as you climb up the winding reddish - coloured gravel road to ruhiira - past endless dense plantations of matoke bananas - it can feel at first sight as if it is a world largely unchanged from when i was first working in uganda close to 50 years ago.																
Generated		"ruhiira is a small town in the north-eastern part of the democratic republic of congo, not far from the border with mozambique."	"democratic republic of congo, mozambique"															
																		
Source	31163329	"the club said revenue fell year - on - year by more than 30 % to # 31. 3 m for the six months to the end of december. pre - tax profits also fell substantially, from # 21. 3 m to # 6. 6 m. celtic were knocked out of the champions league in august after losing to slovenian side maribor. they are currently playing in the uefa europa league. the club also cited lower gains from the sale of players as a reason for the poorer trading performance. revenues from multimedia and other commercial activities fell from # 19. 5 m to less than # 8m, while merchandising revenues also dropped. in a statement, chairman ian bankier said : ` ` as in previous years, the second half is expected to be more challenging in terms of financial performance with fewer home matches scheduled and no certainty on any further gains on the disposal of player registrations. ` ` our strategy remains to live within our means. ` ` the football environment in scotland continues to be challenging and we must operate within it in a fashion that does not unduly risk the long term future of this great club. ` ` our key focus for the remainder of the year will be to build on the progress we have made in the first half of the season and to deliver silverware from competing in the three domestic competitions and remain competitive in the uefa europa league.''"																
Gold		celtic have attributed a sharp fall in revenue and profits to their early exit from the uefa champions league.																
Generated		celtic football club has reported a sharp fall in revenues and profits for the six months to the end of december.																
																		
Source	34268632	"the combined value of the two firms is likely to be at least $ 230bn - lrb - a # 150bn - rrb - based on tuesday's share price. ab inbev's brands include budweiser, stella artois and corona, while sabmiller owns peroni and grolsch. if the deal is successful, the merged company would produce one third of the world's beer. ab inbev said it had approached sabmiller's board about a ` ` combination of the two companies''. however, it added that there was no certainty the approach would lead to an offer or an agreement. earlier, sabmiller said it had been informed that ab inbev was planning to make a bid, but that it had no details as yet. ` ` no proposal has yet been received and the board of sabmiller has no further details about the terms of any such proposal,'' the firm said. shares in sabmiller jumped more than 20 % on the news, while ab inbev's shares were 11 % higher. ` ` let's get this straight, this is a takeover by ab inbev of sabmiller. it's not a merger,'' said larry nelson, editor of the industry trade magazine, brewer's guardian. given the size of the deal both parties would be likely to have to sell off parts of their operations to get it past the regulators, and that may mean sacrificing some of their us and chinese businesses. ` ` in the us sabmiller has a joint venture with molson coors which gives it a 25 % share of the market and makes it a clear number two,'' mr nelson added. ` ` but combining with the number one, ab inbev, would give them 75 % of the market, which is clearly untenable. but ab inbev would not have gone into this without having some plan of what they want to divest.'' the merged company would be likely to move aggressively into faster growing markets. ab inbev has an eye on the south african markets where sab miller dominates in 15 countries, and has a presence in a further 21. a merger would also strengthen its grip on south"																
Gold		the prospect of a tie - up between the world's two largest brewers is looming after anheuser - busch inbev said it had made a takeover move for sabmiller.																
Generated		"anheuser-busch inbev, the world's biggest brewer, has said it has made a takeover approach for the german brewer sabmiller."																
																		
Source	34797865	"turker bayram's instaagent app was pulled from apple and google's stores after another developer flagged it was copying users'names and passwords for the photo - sharing service. but although instaagent used the logins, mr bayram denies saving them. one expert said sending the passwords to an unknown server was still ` ` highly unorthodox''. instaagent had topped the free app charts in several countries, including the uk, before it was blocked. the software promised to let users see who had viewed their instagram profiles. but on tuesday, david layer - reiss - a german ios developer - posted a series of tweets that included evidence instaagent was ` ` hacking'' people's details. mr bayram failed to explain his actions when he was phoned by the bbc the next day, but later posted a statement online in broken english. in it, he said he had been working on a new way to promote the service. the app had charged people a fee if they wanted to see more than three people who had looked at their pictures. mr bayram explained he had been working on a feature that would have unlocked full access for free if device owners let an advert for instaagent appear in their feeds, but said he had decided not to activate it. ` ` it was not a good idea,'' he acknowledged. ` ` we didn't publish because we learned that instagram wasn't allowing private apis - lsb - application program interfaces - rsb - for third - party applications'usage.'' he added, however, that for reasons he ` ` couldn't understand'' the code still started posting the ads to some people's accounts. ` ` it was a terrible experience for us. because our application has removed both mobile markets,'' he wrote. but he said people who had downloaded the app should not be concerned. ` ` nobody's account - lsb - was - rsb - stolen. your password - lsb - was - rsb - never saved - lsb - to - rsb - unauthorised servers. ` ` but again and again we apologise... - lsb - and in the future - rsb - we must read service providers'policies"																
Gold		the creator of an app that posted spam to peoples'instagram accounts has said he made ` ` a terrible mistake''.																
Generated		an iranian developer has been accused of hacking the logins of users of an app that promised to let them see who had viewed their pictures on instagram.																
																		
Source	36526695	"the government said any decision should await a report being written by the former bishop of liverpool james jones. andy burnham, who called for the law, criticised the failure to include it in the policing and crime bill. he said it was wrong margaret aspinall had to use compensation for her son's death towards the ` ` fight for justice''. the shadow home secretary said ms aspinall, whose son james died in the 1989 disaster, had to put the a # 1, 000 she received in compensation towards legal fees and was then ` ` living on the breadline'' trying to cover the cost of fighting for justice. the leigh mp said the 27 - year fight hillsborough families had to endure showed how the odds were stacked against families seeking the truth. it has been revealed south yorkshire police spent at least a # 2. 1 m on legal fees representing its suspended chief constable david crompton during the inquests into the deaths of the 96 fans who were killed. the labour mp said : ` ` this bill was an opportunity to make this country fairer, to even up the scales and tip them in favour of ordinary families and away from the establishment. ` ` i fear we have failed to do that.'' he said ms aspinall, who is chairwoman of the hillsborough family support group, watched the debate from the public gallery, and was ` ` disappointed'' by the government's refusal to accept equal legal funding in to the bill. the policing and crime bill gives police stronger powers and hands responsibility for fire and rescue services to elected police and crime commissioners. it creates so - called super complaints which will allow organisations like charities to bring a large - scale complaint against the police and strengthens protections for whistleblowers so identities are protected while investigations are conducted. home secretary theresa may said the bill would allow police to go ` ` further and faster'' and ` ` radically reform'' the complaints and disciplinary systems. however, mr burnham said it was a ` ` mixed bag'' that included improvements but also missed opportunities including the equal legal funding for victims as well as a second leveson inquiry into the relationship between police and the press. the bill will now pass to the house of lords for further scrutiny. in april, jurors ruled the 96 victims of hillsborough were unlawfully killed. the rt rev james jones"																
Gold		a decision on a ` ` hillsborough law'' to ensure legal funding for bereaved families at inquests where police are involved has been put on hold.																
Generated		the government has been accused of failing to include equal legal funding for the families of the hillsborough disaster victims in the policing bill during a commons debate.					during a commons debate											
																		
Source	36690964	"the 28 - year - old world record holder equalled the olympic record - set by czech roman sebrle at athens 2004 - by scoring 8, 993 points in rio. france's kevin mayer took silver with 8, 834, while canada's damian warner secured bronze with 8, 666. ` ` to win two olympic golds in a row like daley and mathias is very special,'' said eaton. ` ` one day, i'm going to have to meet daley, shake his hand and thank him for giving me something to chase after. ` ` my throwing has been bad in the past, but i really got after the discus and shot here. can i do three in a row? maybe you should ask daley.'' eaton was the overwhelming favourite to follow thompson's achievement from 1980 and 84 and is the third multi - eventer, alongside american heptathlete jackie joyner - kersee, to win back - to - back olympic titles. he has dominated the event since 2011, claiming back - to - back world titles and twice setting new world records along with his olympic success. no british athlete competed in the 10 - discipline event. subscribe to the bbc sport newsletter to get our pick of news, features and video sent to your inbox. find out how to get into athletics with our special guide."																
Gold		"american ashton eaton has become the third man to retain the olympic decathlon title, winning in rio to emulate great britain's daley thompson, and the usa's bob mathias."																
Generated		eamonn eaton has become the first british athlete to win back - to-back olympic golds in the shot put and discus with victory at the rio games.	"eamonn, shot put and discus"															
																		
Source	35912100	"parts of pleasure island family theme park in cleethorpes were inaccessible to the public due to surface water flooding, manager neil ireland said. he added that no major damage had been caused but high winds and rain also meant some of the park's rides would not have been able to run. the park is expected to reopen to the public on tuesday."																
Gold		heavy rain and surface water flooding have forced a theme park in lincolnshire to close.																
Generated		"high winds and heavy rain have caused flooding at a derbyshire theme park, forcing it to close for the weekend."			derbyshire theme park													
																		
Source	37273958	"the muslim personal law board told the supreme court that men were ` ` better at controlling emotions and unlikely to take a hasty decision''. the board's explanation came after muslim women complained about gender discrimination in divorce cases. activists said the comments were ` ` patriarchal, inhuman and unjust''. the supreme court is hearing several petitions challenging what is known as the ` ` instant triple talaq'' where a muslim man can divorce his wife in a matter of minutes by just uttering the word talaq - lrb - divorce - rrb - three times. ` ` their - lsb - the all india muslim personal law board or aimplb - rsb - stand that ` men have greater reasoning power compared to women'smacks of a medieval mindset and prejudice against women,'' the mumbai - based bharatiya muslim mahila andolan - lrb - bmma - indian muslim women's movement - rrb - and the all india democratic women's association said in a joint statement. ` ` their justification of polygamy and triple talaq contravenes the constitution and indeed the principles of gender justice in islam. triple talaq is unilateral and arbitrary. nowhere in the islamic world is triple talaq legal. we oppose it and demand a ban on it forthwith,'' the statement added. the activists said the board should apologise to all women and ensure that their statements in the future were not derogatory to women. muslims are india's largest minority community with a population of 155 million and their marriages and divorces are governed by the muslim personal law, ostensibly based on the sharia. women's groups and campaigners say the controversial practice of triple talaq is un - koranic and must be declared unconstitutional. most islamic countries, including pakistan and bangladesh, have banned triple talaq, but it thrives in india, they say. islamic scholars too say the koran clearly spells out how to issue a divorce - it has to be spread over three months which allows a couple time for reflection and reconciliation. campaigners say men are now increasingly using text messages, skype, whatsapp or facebook to pronounce divorce. but the all india muslim personal law board - lrb - aimplb - rrb - says the divorce rate is still very low among indian muslims and"																
Gold		women's groups and activists in india have criticised an influential muslim group for saying that ` ` men have greater power of decision making''.																
Generated		activists in india have criticised muslims for saying that men have greater reasoning power than women when it comes to divorce.						"muslim group, not muslims"										
																		
Source	32452617	"shaun mckerry tried to rob shildon post office in county durham on 15 march. cctv showed the 31 - year - old threatening staff with the axe before shopkeeper sab dhillon tackled him to the floor and restrained him. durham crown court heard mckerry, of coundon, near bishop auckland, had earlier admitted attempted robbery. mckerry, whose face was hidden by a scarf and hood, brandished the weapon as he ordered shop assistant andrea brighty to fill a bag with money from the till, the court heard. but mr dhillon ran from a back office, grabbed mckerry from behind and wrestled him to the floor. the court heard mckerry, dubbed boomerang boy because of his repeated spells in prison, had been arrested more than 80 times. he was told he must serve an extended four - year licence period after he is released. the court was told mckerry started shoplifting at the age of 12 and by 15 he had been arrested 80 times, and had convictions for aggravated vehicle - taking, sending indecent letters, and burglary. mckerry once stole 22 charity boxes while dressed as a woman, and locals dubbed him a one - man crime wave. dramatic cctv footage from the shop showed the masked mckerry waving an axe as he demanded cash from terrified assistant andrea brighty. but he did not see mr dhillon's rugby tackle, which dropped him to the floor, sending shelves and produce tumbling. as the men wrestled, and with mckerry still holding the axe, mr dhillon's wife sam helped, hitting him twice with a baseball bat to make him drop the weapon. blood can be seen coming from the would - be robber's nose and mr dhillon gestured to his wife to drop the bat. minutes later the police arrived and arrested mckerry, who, the court heard, had been arrested more than 80 times and had 64 previous convictions. speaking to bbc tees shortly after the raid, mr dhillon said : ` ` i was in the back storeroom on the computer and i heard andrea, who was behind the counter shouting ` no, no, no '. ` ` i saw a guy waiving an axe at her. i came up behind him and pulled him away from andrea and the counter. we struggled, fell on the floor. ` `"																
Gold		a serial criminal who was brought to the ground by the owner of a shop during a failed axe raid has been jailed for six years.																
Generated		"a new zealand man dubbed the ""boomerang boy"" after he was caught on cctv waving an axe at a post office worker has been jailed for four years for attempted robbery."	new zealand	for four years														
																		
Source	28340263	"jill bennett had been acting head teacher at priory primary school in dudley for a few days before it was put into special measures. in july 2012, inspectors saw a pupil assaulting a teaching assistant who tried to stop a fight. the watchdog's inspector helen morrison said it was ` ` the worst school she had seen'', said current head ms bennett. it was then rated inadequate in all four areas assessed by ofsted. the watchdog said at the time there was : earlier, the school released its latest inspection, which deems it good in all four areas assessed. ms bennett said her motivation to reverse the school's fortunes came because she attended it herself as a child, as did her sisters glenda and andrea, and ms bennett's own two children, alex and megan. she said : ` ` the area has always been deprived, but i asked myself, ` why couldn't priory children have good opportunities? ` ` i told pupils, i was a good student myself, never an a * student, but i was always determined and that's what we would be.''"																
Gold		a school an ofsted inspector once dubbed ` ` the worst she had seen'' is now rated good.																
Generated		a head teacher who took charge of a school rated inadequate by the ofsted watchdog in 2012 has said she was motivated to turn it around by her own experience.																
																		
Source	26382532	"seven people were charged with stealing and conspiracy to steal a baby from the komfo anokye teaching hospital earlier in february. suwaiba mumuni, whose baby is among the five missing, told the bbc she believes her child is still alive. the hospital, the second largest in ghana, has denied the allegations. the bbc's sammy darko in the capital, accra, says the case of the missing babies has caused outrage in ghana. youths stormed the hospital in kumasi, 270 km - lrb - 167 miles - rrb - north - west of accra, on thursday, temporarily closing the maternity wards, he says. ms mumuni said after she gave birth on 5 february, she was told that her baby was stillborn and it was taken away by attendants. when her relatives arrived later in the day to collect the body for burial, it could not be found, she said. ` ` the only news i am expecting to hear is that my baby has been found,'' ms mumuni told the bbc. ` ` they told me my baby is dead, but they have not been able to produce the body... i am confident my baby is alive.'' the bodies of another four babies allegedly delivered stillborn that day are also missing. ` ` the ministry will leave no stone unturned until the truth is established,'' health minister sherry ayittey said in a statement. ms ayittey said the hospital had 14 working days to find the bodies of the babies ` ` for burial by the families''. staff at the hospital, who spoke on condition of anonymity, said they often felt overwhelmed and there were inadequate resources to deal with demand. our reporter says the seven people charged on thursday over ms mumuni's missing baby were given bail."																
Gold		ghana's health minister has given a hospital in the city of kumasi 14 days to produce the bodies of five babies that were allegedly stillborn.																
Generated		"ghana's health minister has ordered a search for the bodies of five babies allegedly stolen from a hospital in the west of the country, the bbc has learned."																
																		
Source	10233293	"the six ` ` astronauts'' wearing bright blue jump - suits and even surgical masks, were paraded before banks of television cameras and hordes of journalists at a news conference before entering their mock spaceship. amongst the long rows of vips at the news conference were senior officials from the united states, china and the european union. if, as some experts believe, the main aim of the mars 500 experiment is to publicise the concept of human flight to the red planet, then it has surely succeeded beyond all expectations. ` ` i am very happy to be part of this project,'' said diego urbina, the colombian - italian and most extrovert member of the crew. ` ` it will raise awareness of space flight so hopefully a few years from now there will be a real flight to mars.'' he confessed that elton john had been his inspiration. ` ` i don't know if you know that song rocket man,'' he asked. ` ` i want a future like thata $ ¦ where people will be going frequently into space and will be working there and it will be very usual.'' in front of the world's media, all the team spoke confidently about the chances of the experiment being successful - in other words that noone would crack under the stress of such lengthy confinement in such claustrophobic and bizarre conditions and demand to be let out. ` ` the target is for all six of us to be here for 520 days,'' said the french crew - member romain charles who took a guitar with him into the cluster of brown and silver - coloured metal tubes which will be home until november 2011. after the news conference, the six crew disappeared, re - emerging an hour later by the entrance hatch to the mock spaceship, where they put on another high - spirited performance for the media. finally, blowing kisses and waving to wives, girlfriends and relatives, they walked up the steps and through the entrance hatch. a solemn - faced official slowly closed and sealed it behind them. so now reality bites for the six - member volunteer crew. what will they be thinking as they sit inside their tin cans in north - west moscow where outside the warm sun shines and the flowers blossom? there is no thrill of a blast - off and flight through space. there are no windows from which to watch the earth gradually shrink away. and no anticipation of reaching a new world more than fifty million kilometres away. instead,"																
Gold		there was all the pageantry of a real space launch.																
Generated		"so now reality bites for the six - member volunteer crew of the mars 500 experiment as they sit inside their tin cans in north - west moscow, ukraine."																
																		
Source	21187585	"following canadian research linking the vitamin with a small rise in cancer, the study in the lancet journal looked at data from 50, 000 people. it found no significant differences in those taking folic acid. taken in early pregnancy, it reduces the chances of certain birth defects and there have been calls to add it to food in the uk. many countries, including the us and canada, south africa and australia, already add folate - also called folic acid or vitamin b9 - to all flour. it is proven to reduce the number of babies born with ` ` neural tube defects'' such as spina bifida. one of the original reasons behind this more cautious approach in western europe was the risk that folic acid supplementation could disguise anaemia symptoms in a small number of older people. however, another more pressing concern was prompted by the 2007 study that found the incidence of colorectal cancer, which had been falling in the us and canada, rose temporarily just after the vitamin was automatically added to flour. one theory suggested that folate had boosted the growth of tiny, as - yet undetected cancers or pre - cancers, allowing them to be diagnosed earlier and giving the impression that cancer rates had increased. the lancet study compared cancer rates over a five - year period in 50, 000 people from several countries, some taking a folic acid supplement and some a placebo. the doses of folate tended to be much higher than those proposed for mandatory fortification of flour, but a slight increase in cancer incidence recorded in this group did not reach statistical significance, meaning it could be the product of chance alone. one of the report authors, dr robert clarke, from the clinical trial service unit at the university of oxford, said that the findings were ` ` reassuring''. ` ` if there was a substantial effect, we would expect to have seen it by now,'' he added. he said that while the doses proposed for mandatory fortification of flour were much lower than those in the study, a small proportion of people were known to combine this with extra supplements. he said : ` ` if there is any caution now, this is the group of people involved.'' new restrictions on the availability of high - dose supplements are one possible solution. the uk's chief medical officers have already recommended that folate be added to flour, and the decision now rests with government ministers. a department of"																
Gold		worries that taking extra folic acid might increase the risk of cancer have been played down by a major study.																
Generated		"folate - also known as folic acid - should be added to flour in the uk, according to a new study."		should be added														
																		
Source	37936192	"wages were due to be paid on 28 october but owner diego lemos said last week that ` ` unexpected cash flow problems'' had prevented that happening. ` ` all wages have now been paid and once again i apologise to every member of staff for the delay in payment,'' lemos told the club website. shrimps'tom barkhuizen, meanwhile, has mutually agreed to cancel his deal. the 23 - year - old forward joined in 2015 from blackpool and morecambe have stated they retain the right to compensation for the player. shrimps boss jim bentley had told bbc radio lancashire one option they had considered was selling a player to raise funds, while the professional footballers'association had been deal with the wages situation. brazilian businessman lemos bought the shrimps on 1 september, taking over from peter mcguigan."																
Gold		league two side morecambe have confirmed that all players and staff have been paid after a delay.																
Generated		morecambe shrimps have apologised to their staff for the delay in paying their wages after the league two club said they had run out of money.																
																		
Source	30778887	"the clever machine dishes up six delicious flavours of ice cream with a variety of toppings. one day robots may become sentient and take over the world. until then, we're free to boss them about, so we want to know : what job would you give a robot? perhaps you'd make robots clean your room, or prepare delicious snacks? i would make a robot clean the dishes and make beds! gabrielle, birmingham, england i would make my robot cook for me and do my homework for me. jessica, london, england i would like a robot to work in mines so people don't have to go underground. i would also like a robot that sorts out my lego bricks. jack, swindon, wiltshire my robot would help me with my home work. aidan, beckenham, england"																
Gold		a robot that can serve ice cream has been revealed at a shopping centre in china.																
Generated		"a robot has been created to make ice cream, and it's got some pretty good taste!"			and it’s got some pretty good taste													
																		
Source	36535960	"wales were thrashed 40 - 7 by the chiefs on tuesday and scored just one try as the super rugby side ran in six. gatland's men, beaten 39 - 21 by the all blacks in the first test, have scored four tries in their last three games. ` ` we've spoken about chances that we create and being more clinical,'' he said. wales have lost 27 consecutive games against new zealand, with their last win coming in 1953. they are looking for a first win over the all blacks on their own soil and play steve hansen's side at the westpac stadium on saturday, before ending their tour against the kiwis in dunedin. wales wasted a handful of try - scoring chances in hamilton on tuesday, while the two - time super rugby champions were supremely clinical. ` ` the disappointment for us was, was there a little bit of white - line fever? there possibly was on a couple of occasions,'' said gatland. ` ` you've just to keep being tough on the players and say at this level if you create chances you've got to finish them off and be hard on the players about that. ` ` sometimes you don't get many chances to score at this level. ` ` every opportunity the chiefs created they came away with points. we hammered away in their 22 and created some chances and we've come away with nothing, and that's where we've got to improve.'' gatland admits defence is an issue too, with wales having conceded 16 tries in their last three matches - a run which started with the 27 - 13 defeat by england in may. ` ` for us, the big thing coming down to new zealand is getting off our line defensively and looking to be more proactive in dominating those collisions defensively.'' he said. ` ` at the moment we are coming off second best and that's what we have to better at. ` ` if you win those collisions, you slow the ball down and you stop teams playing a bit more on the front foot. ` ` we've got to get that right, hopefully over the next few days.''"																
Gold		wales coach warren gatland says his side must be better in attack in saturday's game against world champions new zealand in wellington.																
Generated		wales coach warren gatland says his players need to be more clinical if they are to beat the all blacks in the second test of their new zealand tour on saturday.																
																		
Source	37496094	"duckett, 21, is in england's winter tour squad to bangladesh after scoring 1, 338 championship runs this summer. chris woakes was named england test player of the summer and tammy beaumont was voted women's player of the summer. duckett said the awards are ` ` probably the highlight of my summer''. he added : ` ` i got my england call - ups and so many other things have happened. if someone had said at the start of the season that all this would happen i wouldn't have believed it. ` ` what makes the pca awards so special is that you are voted for by your peers. people who you play against vote for you and that means a lot to me. i can't keep the smile off my face. i wasn't expecting this.'' beaumont scored centuries in her three england one - day internationals against pakistan and helped kent complete a championship and t20 double. she beat natalie sciver and lauren winfield to the award, voted for by her fellow england players. ` ` it's been a bit of a breakthrough summer for me. i hadn't really cemented my place before so to have a season like that was unbelievable,'' beaumont said. team of the year adam lyth - lrb - yorkshire - rrb -, keaton jennings - lrb - durham - rrb -, ben duckett - lrb - northamptonshire - rrb -, joe root - lrb - c - rrb - - lrb - yorkshire & england - rrb -, jonny bairstow - lrb - yorkshire & england - rrb -, liam dawson - lrb - hampshire & england - rrb -, tim bresnan - lrb - yorkshire - rrb -, chris woakes - lrb - warwickshire & england - rrb -, keith barker - lrb - warwickshire - rrb -, toby roland - jones - lrb - middlesex - rrb - and jeetan patel - lrb - warwickshire - rrb - sixes award colin ingram - lrb - glamorgan - rrb - one - day cup player of the year graeme white - l"																
Gold		northamptonshire opener ben duckett has become the first cricketer to win the professional cricketers'association player of the year and young player of the year awards in the same year.																
Generated		northamptonshire batsman ben duckett has been named player of the summer at the professional cricketers' association player of the year ( pca) awards.						player of the summer										
																		
Source	35449509	"the disturbance broke out in walmersley road, bury, at 22. 10 gmt on friday. five men were taken to hospital, including the three who were stabbed. one was left in a ` ` potentially life - threatening'' condition, police said. three men, aged 32, 22 and 24, were arrested on suspicion of violent disorder. greater manchester police said ` ` a number of weapons'' including an axe, knife and hammer were found at the scene. officers are trying to trace a blue volkswagen bora involved in a chase with a silver seat leon and a white hyundai shortly before the fight. they are also looking for a dark - coloured bmw 5 series which drove off carrying two white men and two asian men. det insp charlotte cadden said : ` ` we already have a number of witnesses, but we need members of the public to come forward to help us.''"																
Gold		"three men were stabbed during a fight involving 10 men and weapons including a knife, hammer and axe in greater manchester."																
Generated		three men were stabbed and another was left in hospital with serious injuries after a fight broke out in a street in manchester.																
																		
Source	40202028	"voges was forced to retire hurt on 86 after suffering the injury while batting during the county championship draw with somerset on 4 june. middlesex hope to have the australian back for their t20 blast game against hampshire at lord's on 3 august. the 37 - year - old has scored 230 runs in four first - class games this season at an average of 57. 50. ` ` losing adam is naturally a blow as he contributes significantly to everything we do,'' director of cricket angus fraser said. ` ` his absence, however, does give opportunities to other players who are desperate to play in the first xi. ` ` in the past we have coped well without an overseas player and i expect us to do so now.'' defending county champions middlesex are sixth in the division one table, having drawn all four of their matches this season. voges retired from international cricket in february with a test batting average of 61. 87 from 31 innings, second only to australian great sir donald bradman's career average of 99. 94 from 52 tests."																
Gold		middlesex batsman adam voges will be out until august after suffering a torn calf muscle in his right leg.																
Generated		middlesex batsman adam voges has been ruled out for the rest of the season with a shoulder injury.		with a shoulder injury														
																		
Source	40030327	"georgina callander was the first victim to be named following the explosion on monday night. the teenager, who was pictured with grande in 2015, sent a twitter message to the star before the event, which read : ` ` so excited to see you tomorrow''. miss callander, thought to be 18 and from chorley, lancashire, was described as ` ` beautiful'' by friends. they said on social media she was one of the first people taken to hospital after the attack. miss callander had already met grande and previously posted a photograph of herself with the 23 - year - old singer, taken in 2015, on her instagram account. she was in the second year of a health and social care course at runshaw college in leyland. in a statement, the school said : ` ` our deepest sympathies, thoughts and prayers go out to all of georgina's family, friends, and all of those affected by this loss. ` ` we are offering all available support possible at this tragic time, including counselling with our dedicated student support team.'' a fundraising page has been set up to help her family with funeral and memorial costs. bolton wanderers football club paid tribute to the former bishop rawstorne church of england academy pupil, who had played for their under - 11 girls'team in 2010. club chaplain phil mason said : ` ` our thoughts and prayers are with her friends and family during this awful time of loss.'' he added that there will also be a minute's silence before the first team ladies'friendly against wigan athletic on wednesday evening at macron stadium, where the team will wear black armbands."																
Gold		a devoted ariana grande fan died in the suicide bomb attack at the us singer's concert at manchester arena.																
